site_id
USGS-01184000
USGS-01463500
USGS-01478245
USGS-01574000
USGS-01577500
USGS-01589290
USGS-0164578734
USGS-02203603
USGS-02207120
USGS-02207385
USGS-02217274
USGS-02336030
USGS-034325065
USGS-03612600
USGS-04157005
USGS-04175120
USGS-04212100
USGS-05518000
USGS-06893390
USGS-06893970
USGS-07018500
USGS-07055814
USGS-07179750
USGS-07374000
USGS-08181800
USGS-09132095
USGS-10336780
USGS-11452600
USGS-11455385
USGS-12170300
USGS-14152000
USGS-14179000
USGS-14181500
USGS-15015595
USGS-16210500
USGS-404038124131801
