site_id,resolved_method,confidence,known_categories,n_unknown_samples,is_catastrophic
USGS-02336120,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 4, 'grab': 2}",11,False
USGS-02336240,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2, 'grab': 2}",3,False
USGS-02336300,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 6, 'grab': 2}",10,False
USGS-02336360,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 3, 'grab': 2}",9,False
USGS-02336526,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 3, 'grab': 2}",7,False
USGS-02336728,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 3, 'grab': 1}",5,False
USGS-03216070,depth_integrated,high,{'depth_integrated': 3},3,False
USGS-03302060,depth_integrated,low_mixed,"{'depth_integrated': 3, 'grab': 1}",3,False
USGS-03353415,depth_integrated,low_mixed,"{'depth_integrated': 6, 'grab': 1}",3,False
USGS-03353420,depth_integrated,low_mixed,"{'depth_integrated': 8, 'grab': 1}",2,False
USGS-03432100,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1, 'grab': 1}",125,False
USGS-034324715,auto_point,high,{'auto_point': 1},27,False
USGS-03432472,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1, 'grab': 1}",18,False
USGS-03432504,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1, 'grab': 1}",127,False
USGS-034325065,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1, 'grab': 1}",91,False
USGS-03432516,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1, 'grab': 1}",174,False
USGS-03432522,auto_point,low_mixed,"{'auto_point': 1, 'grab': 1}",8,False
USGS-03433637,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1, 'grab': 1}",90,False
USGS-034336392,auto_point,low_mixed,"{'auto_point': 1, 'grab': 1}",204,False
USGS-03601630,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1, 'grab': 1}",21,False
USGS-03612600,depth_integrated,low_mixed,"{'depth_integrated': 2, 'grab': 1}",2,False
USGS-04024000,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 3, 'grab': 2}",1,False
USGS-04026005,,unresolvable,{},13,True
USGS-040851385,,unresolvable,{},274,False
USGS-04085427,depth_integrated,high,{'depth_integrated': 4},161,False
USGS-04087119,depth_integrated,low_mixed,"{'depth_integrated': 3, 'grab': 1}",8,False
USGS-04087170,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1, 'grab': 1}",387,False
USGS-04095090,auto_point,high,{'auto_point': 1},45,True
USGS-04101500,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 7}",3,False
USGS-04108660,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 3, 'grab': 1}",1,True
USGS-04142000,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 5, 'grab': 1}",2,False
USGS-04144032,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2, 'grab': 1}",11,False
USGS-04157005,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2, 'grab': 1}",2,False
USGS-04161820,depth_integrated,low_mixed,"{'depth_integrated': 8, 'grab': 2}",17,False
USGS-04165500,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 7, 'grab': 1}",3,False
USGS-04166500,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 4, 'grab': 1}",7,False
USGS-04168400,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 4, 'grab': 1}",14,False
USGS-04176500,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 8}",3,False
USGS-04193490,auto_point,low_mixed,"{'auto_point': 1, 'grab': 1}",1,False
USGS-04195500,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 3}",11,True
USGS-04199000,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 6, 'grab': 2}",5,False
USGS-04199500,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 6, 'grab': 1}",3,False
USGS-04212100,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 5, 'grab': 2}",2,False
USGS-04213500,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 11, 'grab': 1}",100,False
USGS-04219768,depth_integrated,low_mixed,"{'depth_integrated': 5, 'grab': 1}",4,False
USGS-04231600,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 7}",134,False
USGS-04249000,depth_integrated,high,{'depth_integrated': 10},80,True
USGS-05406457,,unresolvable,{},112,False
USGS-05406479,,unresolvable,{},20,True
USGS-05406497,,unresolvable,{},18,False
USGS-05406500,depth_integrated,high,{'depth_integrated': 1},111,False
USGS-05447500,depth_integrated,low_mixed,"{'depth_integrated': 3, 'grab': 2}",17,False
USGS-05517500,depth_integrated,high,{'depth_integrated': 8},1,False
USGS-05537980,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2, 'grab': 2}",1,False
USGS-05567500,depth_integrated,low_mixed,"{'depth_integrated': 1, 'grab': 1}",7,False
USGS-05576100,depth_integrated,low_mixed,"{'depth_integrated': 2, 'grab': 1}",4,False
USGS-05576195,depth_integrated,low_mixed,"{'depth_integrated': 2, 'grab': 1}",1,False
USGS-05586300,depth_integrated,low_mixed,"{'depth_integrated': 8, 'grab': 3}",7,False
USGS-05595000,depth_integrated,low_mixed,"{'depth_integrated': 3, 'grab': 2}",11,False
USGS-05599490,depth_integrated,low_mixed,"{'depth_integrated': 4, 'grab': 2}",5,False
USGS-06076590,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2}",2,False
USGS-06192980,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2}",2,False
USGS-06436760,depth_integrated,high,{'depth_integrated': 2},40,False
USGS-06887000,depth_integrated,high,{'depth_integrated': 7},6,True
USGS-06892513,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 6, 'grab': 1}",14,False
USGS-06893390,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 6, 'grab': 1}",3,False
USGS-06893620,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2, 'grab': 2}",45,False
USGS-06893820,auto_point,low_mixed,"{'auto_point': 1, 'grab': 1}",52,True
USGS-06893830,auto_point,low_mixed,"{'auto_point': 1, 'grab': 1}",50,True
USGS-06893890,auto_point,low_mixed,"{'auto_point': 1, 'grab': 1}",47,False
USGS-06893970,auto_point,low_mixed,"{'auto_point': 1, 'grab': 1}",53,False
USGS-06894000,auto_point,low_mixed,"{'auto_point': 1, 'grab': 1}",58,False
