subset_idx,n_train,n_test,oob_med_r2
0,100,154,0.29919580738791224
1,100,154,0.303270052506854
2,100,154,0.2054545966756493
3,100,154,0.26885265513325407
4,100,154,0.24234425701322287
5,100,154,0.18078646880388943
6,100,154,0.2440716530038538
7,100,154,0.39965627092244227
8,100,154,0.34209782748174017
9,100,154,0.092582324037081
10,100,154,0.229307403012935
11,100,154,0.30366368448131587
12,100,154,0.07299317310452247
13,100,154,0.34985873699130154
14,100,154,0.3412267641155283
15,100,154,0.20519700361686843
16,100,154,0.2586809687730751
17,100,154,0.25786987912164294
18,100,154,0.3159539835798315
19,100,154,0.07061991928812872
20,100,154,0.19270171065183606
21,100,154,0.2840964380255374
22,100,154,0.18781122706235104
23,100,154,0.4395846369276736
24,100,154,0.2588690419021248
25,100,154,0.2004929667712464
26,100,154,0.27732955138483495
27,100,154,0.21681896447001375
28,100,154,0.17477131818393438
29,100,154,0.25308922027348546
30,100,154,0.3371601861279394
31,100,154,0.22807236507788364
32,100,154,0.2771390689904377
33,100,154,0.23494668935354485
34,100,154,0.2600282948513145
35,100,154,0.27663159748265936
36,100,154,0.2589053931355986
37,100,154,0.3387669734533668
38,100,154,0.19648279750209363
39,100,154,0.27202633723876724
40,100,154,0.1283945345389863
41,100,154,0.3223430736914754
42,100,154,0.30986003910693743
43,100,154,0.3119073461482829
44,100,154,-0.024650507545984968
45,100,154,0.23250486183849872
46,100,154,0.2564660554710928
47,100,154,0.29487106922130113
48,100,154,0.37012712740769294
49,100,154,0.30406812264651384
